Street Address,City,State,Zip,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source,Census Year,State FIPS,County FIPS,Place Name,Place FIPS,Census Tract Code,Census Block Code,Census Block Group,Full FIPS,test_site_source
10048 Mills Ave.,Whittier,CA,90604,33.942015,-118.028928,1,rooftop,10048,Mills Ave,Whittier,CA,Los Angeles County,90604,US,Los Angeles,2019,6,6037,South Whittier,673430,503302,2010,2,6.0375E+13,govt
1101 W. Cressey St.,Compton,CA,90222,33.904313,-118.242604,1,range_interpolation,1101,W Cressey St,Compton,CA,Los Angeles County,90222,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Compton,615044,541200,3010,3,6.03754E+13,govt
11798 Foothill Blvd.,Lake View Terrace,CA,91342,34.273409,-118.393849,1,range_interpolation,11798,Foothill Blvd,Sylmar,CA,Los Angeles County,91342,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Los Angeles,644000,980021,1005,1,6.03798E+13,govt
12021 S. Wilmington Ave. ,Los Angeles,CA,90059,33.924315,-118.23911,1,range_interpolation,12021,S Wilmington Ave,Los Angeles,CA,Los Angeles County,90059,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Willowbrook,685614,540700,2012,2,6.03754E+13,govt
12840 Dahila Ave.,Downey,CA,90242,33.92356,-118.15951,0.33,place,,,Downey,CA,Los Angeles County,90242,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Downey,619766,551202,3002,3,6.03755E+13,govt
150 Reno St.,Los Angeles,CA,90026,34.07363,-118.28055,0.9,rooftop,150,N Reno St,Los Angeles,CA,Los Angeles County,90026,US,City of Los Angeles,2019,6,6037,Los Angeles,644000,208610,1006,1,6.03721E+13,govt
1600 W. Beverly Blvd. ,Montebello ,CA,90640,34.020269,-118.116431,1,rooftop,1600,W Beverly Blvd,Montebello,CA,Los Angeles County,90640,US,Los Angeles,2019,6,6037,Montebello,648816,530006,1007,1,6.03753E+13,govt
18427 Sherman Way,San Fernando ,CA,91335,34.200916,-118.534757,1,range_interpolation,18427,Sherman Way,Reseda,CA,Los Angeles County,91335,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Los Angeles,644000,132300,3002,3,6.03713E+13,govt
2011 Sunset Blvd.,Los Angeles,CA,90026,34.07931,-118.26275,0.9,rooftop,2011,W Sunset Blvd,Los Angeles,CA,Los Angeles County,90026,US,City of Los Angeles,2019,6,6037,Los Angeles,644000,195600,2001,2,6.0372E+13,govt
2100 E. Anaheim St.,Long Beach,CA,90804,33.782307,-118.166379,1,rooftop,2100,E Anaheim St,Long Beach,CA,Los Angeles County,90804,US,City of Long Beach,2019,6,6037,Long Beach,643000,576901,1001,1,6.03758E+13,govt
2509 Pico Blvd.,Santa Monica,CA,90405,34.023328,-118.463371,1,rooftop,2509,Pico Blvd,Santa Monica,CA,Los Angeles County,90405,US,Los Angeles,2019,6,6037,Santa Monica,670000,701801,4000,4,6.0377E+13,govt
303 South Loma Drive,Los Angeles,CA,90017,34.05979,-118.26586,1,rooftop,303,S Loma Dr,Los Angeles,CA,Los Angeles County,90017,US,City of Los Angeles,2019,6,6037,Los Angeles,644000,209104,1001,1,6.03721E+13,govt
330 W Maple Ave.,Monrovia,CA,91016,34.141284,-118.007535,1,range_interpolation,330,W Maple Ave,Monrovia,CA,Los Angeles County,91016,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Monrovia,648648,430901,1012,1,6.03743E+13,govt
3591 East Imperial Hwy,Lynwood,CA,90262,33.930748,-118.205471,1,rooftop,3591,Imperial Hwy,Lynwood,CA,Los Angeles County,90262,US,Los Angeles,2019,6,6037,Lynwood,644574,540202,2009,2,6.03754E+13,govt
3606 West Exposition Blvd. ,Los Angeles,CA,90016,34.02244,-118.33573,1,rooftop,3606,W Exposition Blvd,Los Angeles,CA,Los Angeles County,90016,US,City of Los Angeles,2019,6,6037,Los Angeles,644000,219500,1006,1,6.03722E+13,govt
3721 S. La Brea Ave.,Los Angeles,CA,90016,34.01899,-118.35583,1,rooftop,3721,S La Brea Ave,Los Angeles,CA,Los Angeles County,90016,US,City of Los Angeles,2019,6,6037,Los Angeles,644000,236000,1000,1,6.03724E+13,govt
3727 W. 6th St. ,Los Angeles,CA,90020,34.0637,-118.303805,1,rooftop,3727,W 6th St,Los Angeles,CA,Los Angeles County,90020,US,Los Angeles,2019,6,6037,Los Angeles,644000,211802,2002,2,6.03721E+13,govt
3834 S. Western Ave.,Los Angeles,CA,90092,34.01825,-118.30883,0.9,rooftop,3834,S Western Ave,Los Angeles,CA,Los Angeles County,90062,US,City of Los Angeles,2019,6,6037,Los Angeles,644000,231300,3005,3,6.03723E+13,govt
